0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:53:30 +0100] "GET /ProgettoPW2017/Imm/NikeInvernoR.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:53:30 +0100] "GET /ProgettoPW2017/Imm/NikeInvernoB.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:53:30 +0100] "GET /ProgettoPW2017/Imm/PumaRunningN.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:53:30 +0100] "GET /ProgettoPW2017/Imm/TacchiR.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:53:30 +0100] "GET /ProgettoPW2017/Imm/AdidasTennisG.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:53:30 +0100] "GET /ProgettoPW2017/Imm/CarpisaEstateG.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:53:30 +0100] "GET /ProgettoPW2017/Imm/CarpisaEstateN.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:53:30 +0100] "GET /ProgettoPW2017/Imm/EasyGreenBag.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:53:30 +0100] "GET /ProgettoPW2017/cambio.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:53:30 +0100] "GET /ProgettoPW2017/addProdotto.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:53:30 +0100] "GET /ProgettoPW2017/SelezioneVeloce.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:53:30 +0100] "GET /ProgettoPW2017/Inizialmente.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:53:30 +0100] "GET /ProgettoPW2017/clearTable.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:53:30 +0100] "GET /ProgettoPW2017/Imm/Uomo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:53:30 +0100] "GET /ProgettoPW2017/Imm/ScarpaUomo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:53:30 +0100] "GET /ProgettoPW2017/Imm/BorsaUomo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:53:30 +0100] "GET /ProgettoPW2017/Imm/ScarpaDonna.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:53:30 +0100] "GET /ProgettoPW2017/Imm/Donna.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:53:30 +0100] "GET /ProgettoPW2017/Imm/BorsaDonna.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:53:32 +0100] "GET /ProgettoPW2017/Profile.jsp HTTP/1.1" 200 2662
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:53:32 +0100] "GET /ProgettoPW2017/bianco.jpg HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:53:36 +0100] "GET /ProgettoPW2017/Profile.jsp HTTP/1.1" 200 2662
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:53:36 +0100] "GET /ProgettoPW2017/bianco.jpg HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:53:36 +0100] "GET /ProgettoPW2017/Profile.jsp HTTP/1.1" 200 2662
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:53:36 +0100] "GET /ProgettoPW2017/bianco.jpg HTTP/1.1" 404 1055
